"Date & Time","use [kW]","gen [kW]","Register 1 [kW]","Register 2 [kW]","Register 3 [kW]","Register 4 [kW]","Register 5 [kW]","Register 6 [kW]","Register 7 [kW]","Register 8 [kW]","Register 9 [kW]","Register 10 [kW]","Register 11 [kW]","Register 12 [kW]","Solar [kW]"
2026-02-05 20:45:00,392.670431111,-0.410235556,35.659414444,27.888173333,36.410347778,45.720731111,22.278720000,33.880285556,41.416282222,20.993971111,25.760680000,38.003125556,32.246015556,32.412684444,-0.410235556
2026-02-05 20:30:00,386.878890000,-0.411154444,34.381101111,26.065954444,35.680733333,46.434623333,23.261582222,33.650261111,40.895017778,20.393122222,25.686502222,36.346515556,32.349213333,31.734263333,-0.411154444
2026-02-05 20:15:00,397.909158889,-0.414558889,33.879904444,25.833194444,36.335076667,51.040673333,27.027432222,37.181070000,40.300525556,19.822628889,25.801642222,36.467423333,32.284963333,31.934624444,-0.414558889
2026-02-05 20:00:00,392.464373333,-0.411307778,34.558257778,26.368616667,36.826802222,48.708053333,24.598494444,34.375435556,40.079672222,19.705725556,25.832077778,36.870007778,32.720764444,31.820465556,-0.411307778
2026-02-05 19:45:00,397.296208889,-0.404721111,35.261267778,26.751150000,36.993237778,47.654131111,24.043470000,34.264273333,40.519911111,20.269358889,25.906891111,37.981861111,34.439705556,33.210951111,-0.404721111
2026-02-05 19:30:00,409.191898889,-0.414246667,36.328230000,26.771967778,37.039411111,47.533363333,24.497342222,34.838146667,42.957172222,22.682960000,27.514743333,39.497688889,35.677064444,33.853808889,-0.414246667
2026-02-05 19:15:00,397.637506667,-0.416420000,37.823612222,28.176273333,36.951211111,45.894840000,23.301822222,35.020354444,43.020042222,22.181881111,27.154393333,35.916664444,31.623412222,30.573000000,-0.416420000
2026-02-05 19:00:00,399.615260000,-0.425481111,37.637084444,28.257017778,37.436613333,43.949702222,20.329413333,35.262645556,42.976181111,22.042896667,27.678656667,38.236360000,33.551350000,32.257338889,-0.425481111
2026-02-05 18:45:00,391.013973333,-0.429660000,36.275301111,27.359974444,36.634784444,43.238426667,19.020790000,35.518306667,41.629635556,21.159834444,26.854470000,38.222391111,33.213651111,31.886407778,-0.429660000
2026-02-05 18:30:00,397.225356667,-0.428764444,36.671577778,27.668156667,36.646881111,42.165673333,18.195874444,35.236892222,41.532201111,21.163287778,26.798850000,40.702705556,35.860541111,34.582715556,-0.428764444
2026-02-05 18:15:00,398.704678889,-0.365263333,38.662828889,27.801297778,37.043901111,41.371863333,17.848288889,34.871381111,42.620827778,22.050913333,27.088142222,40.032695556,35.282076667,34.030462222,-0.365263333
2026-02-05 18:00:00,350.153408889,0.526470000,34.951055556,22.149358889,32.089977778,38.594672222,15.048548889,32.084771111,39.077426667,18.145933333,22.896093333,36.169275556,29.618722222,29.327573333,0.526470000
2026-02-05 17:45:00,332.613475556,21.523588889,33.890665556,21.302446667,30.100891111,38.007592222,13.535345556,31.223176667,36.570181111,15.271767778,20.819123333,34.209755556,29.289558889,28.392971111,21.523588889
2026-02-05 17:30:00,335.563463333,42.535448889,32.711144444,19.296512222,29.201941111,43.104813333,17.218815556,36.409022222,35.876746667,13.079298889,19.389701111,33.150217778,29.074187778,27.051062222,42.535448889
